2019-04-12T09:40:19,811 | WARN  | grpc-default-executor-2 | P4RuntimeClientImpl              | 222 - org.onosproject.onos-protocols-grpc-ctl - 2.1.0.SNAPSHOT | Error while performing READ on device:bmv2:s1: UNIMPLEMENTED: Reading default entry not supported yet
2019-04-12T09:40:19,834 | WARN  | FlowRuleDriverProvider-0 | P4RuntimeFlowRuleProgrammable    | 223 - org.onosproject.onos-protocols-grpc-utils - 2.1.0.SNAPSHOT | Unable to translate flow rule for pipeconf 'org.onosproject.pipelines.basic': Interpreter was unable to translate treatment. Instruction type 'GROUP' not supported [DefaultFlowEntry{rule=DefaultFlowEntry{id=c100002e98ca9e, deviceId=device:bmv2:s1, priority=50000, selector=[IN_PORT:1], treatment=DefaultTrafficTreatment{immediate=[GROUP:0x7327f54d], deferred=[], transition=None, meter=[], cleared=false, StatTrigger=null, metadata=null}, tableId=ingress.table0_control.table0, created=1555061952616}, state=PENDING_ADD, life=0, liveType=UNKNOWN, packets=0, bytes=0, errCode=-1, errType=-1, lastSeen=1555061952616}]
2019-04-12T09:40:19,896 | WARN  | grpc-default-executor-2 | P4RuntimeClientImpl              | 222 - org.onosproject.onos-protocols-grpc-ctl - 2.1.0.SNAPSHOT | Error while performing WRITE on device:bmv2:s1: UNKNOWN
2019-04-12T09:40:19,898 | WARN  | grpc-default-executor-2 | WriteResponseImpl                | 234 - org.onosproject.onos-protocols-p4runtime-ctl - 2.1.0.SNAPSHOT | Unable to INSERT PRE multicast group entry on device:bmv2:s1: OTHER_ERROR OUT_OF_RANGE Group id value is too high (ALL-sswitch-p4org:0) [PiMulticastGroupEntry{groupId=0x7327f54d, replicas=[[s1-eth2](2):0x1, [s1-eth4](4):0x1, [s1-eth3](3):0x1]}]
2019-04-12T09:40:19,901 | WARN  | grpc-default-executor-2 | P4RuntimeClientImpl              | 222 - org.onosproject.onos-protocols-grpc-ctl - 2.1.0.SNAPSHOT | Error while performing WRITE on device:bmv2:s1: UNKNOWN
2019-04-12T09:40:19,903 | WARN  | grpc-default-executor-2 | WriteResponseImpl                | 234 - org.onosproject.onos-protocols-p4runtime-ctl - 2.1.0.SNAPSHOT | Unable to DELETE PRE multicast group entry on device:bmv2:s1: OTHER_ERROR OUT_OF_RANGE Group id value is too high (ALL-sswitch-p4org:0) [PiMulticastGroupEntry{groupId=0x7327f54d, replicas=[[s1-eth2](2):0x1, [s1-eth4](4):0x1, [s1-eth3](3):0x1]}]
2019-04-12T09:40:19,917 | WARN  | grpc-default-executor-2 | P4RuntimeClientImpl              | 222 - org.onosproject.onos-protocols-grpc-ctl - 2.1.0.SNAPSHOT | Error while performing WRITE on device:bmv2:s1: UNKNOWN
2019-04-12T09:40:19,920 | WARN  | grpc-default-executor-2 | WriteResponseImpl                | 234 - org.onosproject.onos-protocols-p4runtime-ctl - 2.1.0.SNAPSHOT | Unable to INSERT PRE multicast group entry on device:bmv2:s1: OTHER_ERROR OUT_OF_RANGE Group id value is too high (ALL-sswitch-p4org:0) [PiMulticastGroupEntry{groupId=0x7327f54d, replicas=[[s1-eth2](2):0x1, [s1-eth4](4):0x1, [s1-eth3](3):0x1]}]
2019-04-12T09:40:49,820 | WARN  | grpc-default-executor-2 | P4RuntimeClientImpl              | 222 - org.onosproject.onos-protocols-grpc-ctl - 2.1.0.SNAPSHOT | Error while performing READ on device:bmv2:s1: UNIMPLEMENTED: Reading default entry not supported yet
2019-04-12T09:40:49,852 | WARN  | FlowRuleDriverProvider-0 | P4RuntimeFlowRuleProgrammable    | 223 - org.onosproject.onos-protocols-grpc-utils - 2.1.0.SNAPSHOT | Unable to translate flow rule for pipeconf 'org.onosproject.pipelines.basic': Interpreter was unable to translate treatment. Instruction type 'GROUP' not supported [DefaultFlowEntry{rule=DefaultFlowEntry{id=c100002e98ca9e, deviceId=device:bmv2:s1, priority=50000, selector=[IN_PORT:1], treatment=DefaultTrafficTreatment{immediate=[GROUP:0x7327f54d], deferred=[], transition=None, meter=[], cleared=false, StatTrigger=null, metadata=null}, tableId=ingress.table0_control.table0, created=1555061952616}, state=PENDING_ADD, life=0, liveType=UNKNOWN, packets=0, bytes=0, errCode=-1, errType=-1, lastSeen=1555061952616}]
